-1	0	0	0	0
0	1	9	1	1
0	0	9	0	0
1	1	21	1	1
1	0	21	0	0
2	1	23	1	1
3	1	26	1	2
2	0	28	1	1
3	0	36	0	0
4	1	51	1	1
4	0	51	0	0
5	1	61	1	1
5	0	61	0	0
6	1	73	1	1
6	0	73	0	0
7	1	74	1	1
8	1	77	1	2
7	0	88	1	1
9	1	88	1	2
8	0	90	1	1
9	0	95	0	0
10	1	127	1	1
10	0	127	0	0
11	1	135	1	1
11	0	135	0	0
12	1	146	1	1
12	0	146	0	0
13	1	149	1	1
13	0	149	0	0
14	1	161	1	1
14	0	161	0	0
15	1	168	1	1
16	1	172	1	2
17	1	174	1	3
15	0	183	1	2
16	0	186	1	1
17	0	188	0	0
18	1	188	1	1
18	0	189	0	0
19	1	192	1	1
20	1	192	1	2
19	0	197	1	1
20	0	201	0	0
21	1	211	1	1
21	0	217	0	0
22	1	226	1	1
22	0	227	0	0
23	1	229	1	1
24	1	234	1	2
23	0	238	1	1
25	1	239	1	2
24	0	255	1	1
25	0	267	0	0
26	1	279	1	1
26	0	279	0	0
27	1	280	1	1
27	0	282	0	0
28	1	283	1	1
29	1	293	1	2
28	0	302	1	1
30	1	315	1	2
31	1	319	1	3
29	0	326	1	2
32	1	332	1	3
30	0	334	1	2
33	1	349	1	3
31	0	357	1	2
34	1	362	1	3
32	0	376	1	2
33	0	379	1	1
34	0	391	0	0
35	1	415	1	1
35	0	415	0	0
36	1	416	1	1
36	0	420	0	0
37	1	435	1	1
38	1	437	1	2
37	0	440	1	1
39	1	442	1	2
40	1	447	1	3
41	1	457	1	4
38	0	458	1	3
39	0	464	1	2
42	1	465	1	3
40	0	471	1	2
41	0	471	1	1
43	1	477	1	2
